IdentifierDOI	Title	Abstract	DateIssued	RelatedTitle
10.1051/0004-6361:200809789	Deep optical spectroscopy of extended Ly alpha emission around three radio-quiet z=4.5 quasars	We report the first results of a spectroscopic search for Ly alpha envelopes around three z similar to 4.5 radio-quiet quasars. Our observational strategy adopts the FORS2 spectrograph mounted to the UT1 of the Very Large Telescope (VLT) in the multi-slit mode. This allows us to observe simultaneously the quasars and several PSF stars. The spectra of the latter are used to remove the point-like quasar from the data, and to unveil the faint underlying Lya envelopes associated with the quasars to unprecedented depth. We clearly detect an envelope around two of the three quasars. The sizes of these envelopes are 10 '' and 13 '' (i. e. 67 kpc and 87 kpc). This is 5 to 10 times larger than predicted by the models of Haiman & Rees (2001, ApJ, 556, 87) and up to 100 times fainter. Our observations are in more robust agreement with models involving a clumpy envelope such as Alam & Miralda-Escuda (2002, ApJ, 568, 576) or Chelouche et al. (2007, ApJ, submitted). We find that the brighter quasars also have the brighter envelopes but that the extent of the envelopes does not depend on the quasar luminosity. Although our results are based on only two objects with a detected Lya envelope, the quality of the spatial deblending of the spectra lends considerable for hope to estimating the luminosity function and surface brightness profiles of high redshift Ly alpha envelopes down to F similar to 2-3 x 10(-21) erg s(-1) cm(-2) angstrom(-1). We conclude that the most efficient strategy for studying high redshift Lya quasar envelopes is to acquire both narrow-band images and deep slit-spectra.	2008-01-01	Astronomy & Astrophysics
10.1021/jp301176y	Synthesis and Characterization of High-Photoactivity Electrodeposited Cu2O solar absorber by photoelectrochemistry and ultrafast spectroscopy	We present a systematic study on the effects of electrodeposition parameters on the photoelectrochemical properties of Cu2O. The influence of deposition variables (temperature, pH, and deposition current density) on conductivity has been widely explored in the past for this semiconductor, but the optimization of the electrodeposition process for the photoelectrochemical response in aqueous solutions under AM 1.5 illumination has received far less attention. In this work, we analyze the photoactivity of Cu2O films deposited at different conditions and correlate the photoresponse to morphology, film orientation, and electrical properties. The photoelectrochemical response was measured by linear sweep voltammetry under chopped simulated AM 1.5 illumination. The highest photocurrent obtained was −2.4 mA cm−2 at 0.25 V vs RHE for a film thickness of 1.3 μm. This is the highest reported value reached so far for this material in an aqueous electrolyte under AM 1.5 illumination. The optical and electrical properties of the most photoactive electrode were investigated by UV−vis spectroscopy and electrochemical impedance, while the minority carrier lifetime and diffusion length were measured by optical-pump THz-probe spectroscopy.	2012-01-01	The Journal of Physical Chemistry C
10.1021/acs.nanolett.9b05117	Moire Flat Bands in Twisted Double Bilayer Graphene	We investigate twisted double bilayer graphene (TDBG), a four-layer system composed of two AB-stacked graphene bilayers rotated with respect to each other by a small angle. Our ab initio band structure calculations reveal a considerable energy gap at the charge-neutrality point that we assign to the intrinsic symmetric polarization (ISP). We then introduce the ISP effect into the tight-binding parametrization and perform calculations on TDBG models that include lattice relaxation effects down to very small twist angles. We identify a narrow region around the magic angle characterized by a manifold of remarkably flat bands gapped out from other states even without external electric fields. To understand the fundamental origin of the magic angle in TDBG, we construct a continuum model that points to a hidden mathematical link to the twisted bilayer graphene model, thus indicating that the band flattening is a fundamental feature of TDBG and is not a result of external fields.	2020-04-08	Nano Letters
10.1109/ACCESS.2020.2998052	Adaptive Laser Welding Control: A Reinforcement Learning Approach	Despite extensive research efforts in the field of laser welding, the imperfect repeatability of the weld quality still represents an open topic. Indeed, the inherent complexity of the underlying physical phenomena prevents the implementation of an effective controller using conventional regulators. To close this gap, we propose the application of Reinforcement Learning for closed-loop adaptive control of welding processes. The presented system is able to autonomously learn a control law that achieves a predefined weld quality independently from the starting conditions and without prior knowledge of the process dynamics. Specifically, our control unit influences the welding process by modulating the laser power and uses optical and acoustic emission signals as sensory input. The algorithm consists of three elements: a smart agent interacting with the process, a feedback network for quality monitoring, and an encoder that retains only the quality critic events from the sensory input. Based on the data representation provided by the encoder, the smart agent decides the output laser power accordingly. The corresponding input signals are then analyzed by the feedback network to determine the resulting process quality. Depending on the distance to the targeted quality, a reward is given to the agent. The latter is designed to learn from its experience by taking the actions that maximize not just its immediate reward, but the sum of all the rewards that it will receive from that moment on. Two learning schemes were tested for the agent, namely S-Learning and Policy Gradient. The required training time to reach the targeted quality was 20 min for the former technique and 33 min for the latter.	2020-01-01	IEEE Access
10.1006/spmi.1994.1082	4-Wave-Mixing Signals from Extended Exciton-States above the Mobility Edge in Gaas (Ga,Al)as Multiple-Quantum Wells	We investigate the dependence of four-wave mixing response on the photon energy close to the fundamental exciton (X) resonance in GaAs quantum wells. We find that cross-polarised incident fields give rise to a non-linear signal which decays faster at energies below the X line centre than above. We show that this behaviour cannot be assigned to biexciton transitions alone but rather suggests that the delocalised X states above the mobility edge are excited off-resonantly by the laser light having slightly lower energies.	1994-01-01	Superlattices and Microstructures
10.1007/s10994-013-5366-3	Learning with tensors: a framework based on convex optimization and spectral regularization	We present a framework based on convex optimization and spectral regularization to perform learning when feature observations are multidimensional arrays (tensors). We give a mathematical characterization of spectral penalties for tensors and analyze a unifying class of convex optimization problems for which we present a provably convergent and scalable template algorithm. We then specialize this class of problems to perform learning both in a transductive as well as in an inductive setting. In the transductive case one has an input data tensor with missing features and, possibly, a partially observed matrix of labels. The goal is to both infer the missing input features as well as predict the missing labels. For induction, the goal is to determine a model for each learning task to be used for out of sample prediction. Each training pair consists of a multidimensional array and a set of labels each of which corresponding to related but distinct tasks. In either case the proposed technique exploits precise low multilinear rank assumptions over unknown multidimensional arrays; regularization is based on composite spectral penalties and connects to the concept of Multilinear Singular Value Decomposition. As a by-product of using a tensor-based formalism, our approach allows one to tackle the multi-task case in a natural way. Empirical studies demonstrate the merits of the proposed methods.	2014-01-01	Machine Learning
10.1016/j.cemconres.2015.02.015	Degradation mechanism of slag blended mortars immersed in sodium sulfate solution	Additions of slag are usually considered to give cementitious materials which perform well in sulfate bearing environments. This paper compares the deterioration of slag cement blends to those of plain Portland cement and demonstrates that this occurs more through loss of surface than macroscopic expansion. When slag blended mortar is immersed in sodium sulfate solution, the sulfate ions penetrating into samples are mostly fixed by aluminate phases in a relatively narrow region close to surface, due to the refinement of pore size and buffering effect by slag addition. After all available aluminate phases have been reacted, the concentration of sulfate ion in pore solution will increase. Once the solution concentration reaches a critical level, fine AFm crystals confined within the C-S-H can react to form ettringite, exerting expansion force. If the system contains sufficient confined AFm phases, this process can cause spalling of the surface layer. Then, sulfate ions can penetrate into the sound area, manifesting another expansive area. Furthermore, the penetration depth of slag sample does not depend strongly on the concentration of sulfate solution, but higher concentration increases the crystallization pressure of ettringite, thereby causing more damage. (C) 2015 Elsevier Ltd. All rights reserved.	2015-01-01	Cement And Concrete Research
10.1088/0957-0233/22/8/085204	Constrained expectation-maximization algorithm for stochastic inertial error modeling: study of feasibility	Stochastic modeling is a challenging task for low-cost sensors whose errors can have complex spectral structures. This makes the tuning process of the INS/GNSS Kalman filter often sensitive and difficult. For example, first-order Gauss–Markov processes are very often used in inertial sensor models. But the estimation of their parameters is a non-trivial task if the error structure is mixed with other types of noises. Such an estimation is often attempted by computing and analyzing Allan variance plots. This contribution demonstrates solving situations when the estimation of error parameters by graphical interpretation is rather difficult. The novel strategy performs direct estimation of these parameters by means of the expectation-maximization (EM) algorithm. The algorithm results are first analyzed with a critical and practical point of view using simulations with typically encountered error signals. These simulations show that the EM algorithm seems to perform better than the Allan variance and offers a procedure to estimate first-order Gauss–Markov processes mixed with other types of noises. At the same time, the conducted tests revealed limits of this approach that are related to the convergence and stability issues. Suggestions are given to circumvent or mitigate these problems when complexity of error structure is 'reasonable'. This work also highlights the fact that the suggested approach via EM algorithm and the Allan variance may not be able to estimate the parameters of complex error models reasonably well and shows the need for new estimation procedures to be developed in this context. Finally, an empirical scenario is presented to support the former findings. There, the positive effect of using the more sophisticated EM-based error modeling on a filtered trajectory is highlighted.	2011-01-01	Measurement Science and Technology
10.1021/jp209130x	Solid-State Dye-Sensitized Solar Cells using Ordered TiO2 Nanorods on Transparent Conductive Oxide as Photoanodes	TiO2 nanorod arrays were prepared on top of a transparent conductive glass substrate covered with a thin TiO2 compact layer. Solid-state dye-sensitized solar cells (SSDSCs) were fabricated using these structured TiO2 films sensitized with C106 dye as a photoanode and 2,2',7,7'-tetrakis-(N,N-dipmethoxyphenylamine) 9,9'-spirobifluorene (spiro-MeOTAD) as the organic hole-transporting material. Photovoltaic power conversion efficiency of 2.9% was obtained at full sunlight intensity. The electron lifetime as well as the electron diffusion coefficient in the device was determined by charge extraction, transient photovoltage decay, and open-circuit photovoltage decay experiments.	2012-01-01	Journal Of Physical Chemistry C
10.1109/TCAD.2022.3158832	Reinforcement Learning-Based Joint Reliability and Performance Optimization for Hybrid-Cache Computing Servers	Computing servers play a key role in the development and process of emerging compute-intensive applications in recent years. However, they need to operate efficiently from an energy perspective viewpoint, while maximizing the performance and lifetime of the hottest server components (i.e., cores and cache). Previous methods focused on either improving energy efficiency by adopting new hybrid-cache architectures including the resistive random-access memory (RRAM) and static random-access memory (SRAM) at the hardware level, or exploring trade-offs between lifetime limitation and performance of multi-core processors under stable workloads conditions. Therefore, no work has so far proposed a co-optimization method with hybrid-cache-based server architectures for real-life dynamic scenarios taking into account scalability, performance, lifetime reliability, and energy efficiency at the same time. In this paper, we first formulate a reliability model for the hybrid-cache architecture to enable precise lifetime reliability management and energy efficiency optimization. We also include the performance and energy overheads of cache switching, and optimize the benefits of hybrid-cache usage for better energy efficiency and performance. Then, we propose a runtime Q-Learning-based reliability management and performance optimization approach for multi-core microprocessors with the hybrid-cache architecture, jointly incorporated with a dynamic preemptive priority queue management method to improve the overall tasks' performance by targeting to respect their end time limits. Experimental results show that our proposed method achieves up to 44% average performance (i.e., tasks execution time) improvement, while maintaining the whole system design lifetime longer than 5 years, when compared to the latest state-of-the-art energy efficiency optimization and reliability management methods for computing servers.	2022-03-07	IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems
10.1017/jfm.2023.927	Identifying invariant solutions of wall-bounded three-dimensional shear flows using robust adjoint-based variational techniques	Invariant solutions of the Navier-Stokes equations play an important role in the spatiotemporally chaotic dynamics of turbulent shear flows. Despite the significance of these solutions, their identification remains a computational challenge, rendering many solutions inaccessible and thus hindering progress towards a dynamical description of turbulence in terms of invariant solutions. We compute equilibria of three-dimensional wall-bounded shear flows using an adjoint-based matrix-free variational approach. To address the challenge of computing pressure in the presence of solid walls, we develop a formulation that circumvents the explicit construction of pressure and instead employs the influence matrix method. Together with a data-driven convergence acceleration technique based on dynamic mode decomposition, this yields a practically feasible alternative to state-of-the-art Newton methods for converging equilibrium solutions. We compute multiple equilibria of plane Couette flow starting from inaccurate guesses extracted from a turbulent time series. The variational method outperforms Newton(-hookstep) iterations in converging successfully from poor initial guesses, suggesting a larger convergence radius.	2023-12-12	Journal Of Fluid Mechanics
10.1002/sta4.501	A note on universal inference	Universal inference enables the construction of confidence intervals and tests without regularity conditions by splitting the data into two parts and appealing to Markov's inequality. Previous investigations have shown that the cost of this generality is a loss of power in regular settings for testing simple hypotheses. The present paper makes three contributions. We first clarify the reasons for the loss of power and use a simple illustrative example to investigate how the split proportion optimizing the power depends on the nominal size of the test. We then show that the presence of nuisance parameters can severely impact the power and suggest a simple asymptotic improvement. Finally, we show that combining many data splits can also sharply diminish power.	2022-12-01	Stat
10.1523/JNEUROSCI.20-15-05587.2000	Complete and long-term rescue of lesioned adult motoneurons by lentiviral-mediated expression of glial cell line-derived neurotrophic factor in the facial nucleus	To date, delivery of neurotrophic factors has only allowed to transiently protect axotomized facial motoneurons against cell death. In the present report, long-term protection of these neurons was evaluated by continuously expressing the neurotrophic factor glial cell line-derived neurotrophic factor (GDNF) within the facial nucleus using a lentiviral vector system. The viral vector was injected unilaterally into the facial nucleus of 4-month-old Balb/C mice. In contrast to axotomy in other adult rodents, facial nerve lesion in these animals leads to a progressive and sustained loss and/or atrophy of >50% of the motoneurons. This model thus represents an attractive model to evaluate potential protective effects of neurotrophic factors for adult-onset motoneuron diseases, such as amyotrophic lateral sclerosis. One month after unilateral lentiviral vector injection, the facial nerve was sectioned, and the animals were killed 3 months later. Viral delivery of the GDNF gene led to long-term expression and extensive diffusion of GDNF within the brainstem. In addition, axotomized motoneurons were completely protected against cell death, because 95% of the motoneurons were present as demonstrated by both Nissl staining and choline acetyltransferase immunoreactivity. Furthermore, GDNF prevented lesion-induced neuronal atrophy and maintained proximal motoneuron axons, despite the absence of target cell reinnervation. This is the first evidence that viral-mediated delivery of GDNF close to the motoneuron cell bodies of the facial nucleus of adult mice can lead to complete and long-term protection against lesion-induced cell death.	2000-01-01	Journal of Neuroscience
10.1002/adma.202306311	On-Surface Synthesis of Edge-Extended Zigzag Graphene Nanoribbons	Graphene nanoribbons (GNRs) have gained significant attention in nanoelectronics due to their potential for precise tuning of electronic properties through variations in edge structure and ribbon width. However, the synthesis of GNRs with highly sought-after zigzag edges (ZGNRs), critical for spintronics and quantum information technologies, remains challenging. In this study, a design motif for synthesizing a novel class of GNRs termed edge-extended ZGNRs is presented. This motif enables the controlled incorporation of edge extensions along the zigzag edges at regular intervals. The synthesis of a specific GNR instance-a 3-zigzag-rows-wide ZGNR-with bisanthene units fused to the zigzag edges on alternating sides of the ribbon axis is successfully demonstrated. The resulting edge-extended 3-ZGNR is comprehensively characterized for its chemical structure and electronic properties using scanning probe techniques, complemented by density functional theory calculations. The design motif showcased here opens up new possibilities for synthesizing a diverse range of edge-extended ZGNRs, expanding the structural landscape of GNRs and facilitating the exploration of their structure-dependent electronic properties.|In this study, a new design motif is introduced to synthesize edge-extended zigzag graphene nanoribbons (ZGNRs). Using scanning probe techniques and density functional theory, the chemical structure and electronic characteristics of a 3-zigzag-row ZGNR instance are confirmed. This approach expands the range of possible ZGNRs, contributing to further understanding of structure-dependent electronic properties in GNRs.image	2023-10-25	Advanced Materials
